 INFO 23:50:12,384 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 2 PA (Parti pris)
 INFO 23:50:12,385 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: -2 PM max (Parti pris)
 INFO 23:50:13,192 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Flèche explosive
 WARN 23:50:13,195 [AWT-EventQueue-0] (arx:744) - Impossible de récupérer la duree de l'animation 5_AnimTarget-FlecheExplosive dans jar:file:./contents/animations/players/players.jar!/90 : la definition n'est pas chargee
 INFO 23:50:14,323 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 461 PV (Feu)
 INFO 23:50:14,600 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -542 PV (Feu) (Parade !) (Balise d'alignement)
 INFO 23:50:14,602 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -677 PV (Feu) (Balise d'alignement)
 INFO 23:50:14,803 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -542 PV (Feu) (Parade !) (Balise de contact)
 INFO 23:50:14,804 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 462 PV (Feu)
 INFO 23:50:14,805 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+70 Niv.)
 INFO 23:50:14,806 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Consomme Pointe affûtée
 INFO 23:50:15,004 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Tir précis
 INFO 23:50:16,210 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: n'est plus sous l'emprise de 'Tir précis'
 INFO 23:50:16,210 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Débalisage
 INFO 23:50:16,913 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Balise de Contact: Retire la Balise
 INFO 23:50:17,213 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+110 Niv.) (Débalisage)
 INFO 23:50:17,214 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 1 PW
 INFO 23:50:17,216 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: La Pointe affûtée est prête !
 INFO 23:50:17,217 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Balise affûtée (+2 Niv.)
 INFO 23:50:17,218 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Précision (+100 Niv.) (Débalisage)
 INFO 23:50:17,219 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Débalisage
 INFO 23:50:18,027 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Balise d'Alignement: Retire la Balise
 INFO 23:50:18,028 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Balise de Contact est hors-combat !
 INFO 23:50:18,326 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+50 Niv.) (Débalisage)
 INFO 23:50:18,326 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Précision (+140 Niv.) (Débalisage)
 INFO 23:50:19,025 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Balise d'Alignement est hors-combat !
 INFO 23:50:19,126 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Roulade
 WARN 23:50:19,130 [AsyncLoader-60] (Gi:59) - Unable to read file:./contents/animations/players/players.jar!/0.anm : JAR entry 0.anm not found in .\contents\animations\players\players.jar
 INFO 23:50:19,828 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: se téléporte
 INFO 23:50:20,730 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 1 PM
 INFO 23:50:20,733 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 40 % Dommages infligés (Insaisissable)
 INFO 23:50:20,734 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+90 Niv.) (Insaisissable)
 INFO 23:50:20,735 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Précision (+180 Niv.) (Insaisissable)
 INFO 23:50:20,737 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: +0 PV (Neutre) (Éclaireur spécialisé)
 INFO 23:50:20,740 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] 50 secondes reportées pour le tour suivant.
 INFO 23:50:23,250 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique lance le sort Coup de Boule
